Date (yy-mm-01),Rainfall/precipitation (mm)
1975-01-01,2.77
1975-02-01,24.42
1975-03-01,41.13
1975-04-01,77.79
1975-05-01,131.23
1975-06-01,123.98
1975-07-01,238.49
1975-08-01,182.95
1975-09-01,191.19
1975-10-01,94.35
1975-11-01,46.77
1975-12-01,16.62
1976-01-01,9.74
1976-02-01,53.41
1976-03-01,43.88
1976-04-01,81.62
1976-05-01,133.61
1976-06-01,139.45
1976-07-01,139.11
1976-08-01,186.3
1976-09-01,152.21
1976-10-01,149.5
1976-11-01,39.64
1976-12-01,15.64
1977-01-01,14.84
1977-02-01,12.57
1977-03-01,23.77
1977-04-01,32.56
1977-05-01,108.46
1977-06-01,125.54
1977-07-01,150.68
1977-08-01,226.44
1977-09-01,177.53
1977-10-01,92.36
1977-11-01,13.2
1977-12-01,11.75
1978-01-01,7.31
1978-02-01,20.38
1978-03-01,52.53
1978-04-01,133.31
1978-05-01,126.71
1978-06-01,158.36
1978-07-01,177.74
1978-08-01,205.73
1978-09-01,172.3
1978-10-01,111.48
1978-11-01,21.48
1978-12-01,9.19
1979-01-01,8.28
1979-02-01,21.65
1979-03-01,45.84
1979-04-01,89.18
1979-05-01,144.97
1979-06-01,174.68
1979-07-01,212.83
1979-08-01,203.37
1979-09-01,174.99
1979-10-01,95.8
1979-11-01,47.61
1979-12-01,5.14
1980-01-01,12.2
1980-02-01,19.61
1980-03-01,35.35
1980-04-01,65.63
1980-05-01,155.71
1980-06-01,163.44
1980-07-01,233.06
1980-08-01,273.54
1980-09-01,165.39
1980-10-01,146.45
1980-11-01,40.91
1980-12-01,8.43
1981-01-01,9.57
1981-02-01,12.27
1981-03-01,39.63
1981-04-01,76.84
1981-05-01,148.27
1981-06-01,138.8
1981-07-01,220.7
1981-08-01,187.65
1981-09-01,176.96
1981-10-01,93.92
1981-11-01,15.62
1981-12-01,8.49
1982-01-01,24.69
1982-02-01,24.63
1982-03-01,44.51
1982-04-01,68.39
1982-05-01,131.36
1982-06-01,138.46
1982-07-01,179.6
1982-08-01,182.26
1982-09-01,151.36
1982-10-01,103.06
1982-11-01,16.45
1982-12-01,9.09
1983-01-01,0.02
1983-02-01,4.55
1983-03-01,21.8
1983-04-01,36.3
1983-05-01,110.02
1983-06-01,146.65
1983-07-01,152.4
1983-08-01,138.04
1983-09-01,162.53
1983-10-01,47.87
1983-11-01,22.09
1983-12-01,23.81
1984-01-01,2.58
1984-02-01,7.6
1984-03-01,52.83
1984-04-01,88.69
1984-05-01,119.74
1984-06-01,128.38
1984-07-01,168.46
1984-08-01,163.29
1984-09-01,176.2
1984-10-01,96.18
1984-11-01,22.77
1984-12-01,11.11
1985-01-01,19.05
1985-02-01,5.26
1985-03-01,61.23
1985-04-01,61.7
1985-05-01,125.92
1985-06-01,139.05
1985-07-01,201.98
1985-08-01,236.65
1985-09-01,200.82
1985-10-01,93.65
1985-11-01,35.55
1985-12-01,7.82
1986-01-01,7.17
1986-02-01,21.75
1986-03-01,52.0
1986-04-01,44.89
1986-05-01,112.69
1986-06-01,107.39
1986-07-01,224.64
1986-08-01,174.96
1986-09-01,187.95
1986-10-01,116.57
1986-11-01,37.47
1986-12-01,3.62
1987-01-01,4.69
1987-02-01,23.4
1987-03-01,56.22
1987-04-01,35.8
1987-05-01,78.28
1987-06-01,156.05
1987-07-01,163.11
1987-08-01,253.77
1987-09-01,164.63
1987-10-01,101.36
1987-11-01,15.24
1987-12-01,8.1
1988-01-01,10.9
1988-02-01,17.61
1988-03-01,41.99
1988-04-01,85.68
1988-05-01,111.7
1988-06-01,179.28
1988-07-01,215.23
1988-08-01,272.38
1988-09-01,219.36
1988-10-01,98.47
1988-11-01,22.66
1988-12-01,17.13
1989-01-01,0.29
1989-02-01,1.94
1989-03-01,39.14
1989-04-01,54.24
1989-05-01,116.53
1989-06-01,146.84
1989-07-01,192.29
1989-08-01,243.26
1989-09-01,164.33
1989-10-01,101.46
1989-11-01,15.82
1989-12-01,11.16
1990-01-01,10.6
1990-02-01,9.28
1990-03-01,6.58
1990-04-01,70.56
1990-05-01,124.74
1990-06-01,116.04
1990-07-01,219.7
1990-08-01,192.2
1990-09-01,157.16
1990-10-01,87.06
1990-11-01,30.28
1990-12-01,24.01
1991-01-01,5.17
1991-02-01,19.88
1991-03-01,38.25
1991-04-01,91.37
1991-05-01,192.85
1991-06-01,123.31
1991-07-01,205.16
1991-08-01,248.08
1991-09-01,124.62
1991-10-01,108.22
1991-11-01,19.41
1991-12-01,4.69
1992-01-01,2.13
1992-02-01,2.86
1992-03-01,47.07
1992-04-01,65.79
1992-05-01,132.47
1992-06-01,126.38
1992-07-01,193.72
1992-08-01,222.09
1992-09-01,187.57
1992-10-01,87.75
1992-11-01,31.82
1992-12-01,5.59
1993-01-01,2.89
1993-02-01,12.32
1993-03-01,36.31
1993-04-01,50.83
1993-05-01,97.48
1993-06-01,131.32
1993-07-01,183.57
1993-08-01,209.95
1993-09-01,173.38
1993-10-01,89.69
1993-11-01,40.61
1993-12-01,12.43
1994-01-01,14.62
1994-02-01,7.5
1994-03-01,22.03
1994-04-01,74.31
1994-05-01,109.45
1994-06-01,153.51
1994-07-01,218.17
1994-08-01,290.68
1994-09-01,222.15
1994-10-01,158.93
1994-11-01,19.58
1994-12-01,1.57
1995-01-01,3.9
1995-02-01,14.35
1995-03-01,32.67
1995-04-01,81.78
1995-05-01,106.46
1995-06-01,142.28
1995-07-01,183.67
1995-08-01,261.19
1995-09-01,190.86
1995-10-01,121.6
1995-11-01,22.48
1995-12-01,7.56
1996-01-01,6.78
1996-02-01,15.34
1996-03-01,39.24
1996-04-01,52.08
1996-05-01,121.16
1996-06-01,180.76
1996-07-01,153.98
1996-08-01,221.85
1996-09-01,188.66
1996-10-01,106.34
1996-11-01,6.35
1996-12-01,8.7
1997-01-01,10.52
1997-02-01,1.32
1997-03-01,47.3
1997-04-01,85.81
1997-05-01,122.92
1997-06-01,174.01
1997-07-01,149.27
1997-08-01,173.65
1997-09-01,152.83
1997-10-01,116.94
1997-11-01,36.21
1997-12-01,7.92
1998-01-01,2.29
1998-02-01,5.24
1998-03-01,13.86
1998-04-01,53.12
1998-05-01,93.8
1998-06-01,149.55
1998-07-01,205.82
1998-08-01,243.89
1998-09-01,187.75
1998-10-01,117.15
1998-11-01,18.93
1998-12-01,5.94
1999-01-01,14.88
1999-02-01,22.59
1999-03-01,30.9
1999-04-01,51.89
1999-05-01,117.47
1999-06-01,156.95
1999-07-01,223.74
1999-08-01,249.69
1999-09-01,217.02
1999-10-01,129.94
1999-11-01,23.51
1999-12-01,3.31
2000-01-01,6.21
2000-02-01,2.56
2000-03-01,14.2
2000-04-01,47.53
2000-05-01,91.77
2000-06-01,179.68
2000-07-01,193.91
2000-08-01,203.2
2000-09-01,179.47
2000-10-01,95.49
2000-11-01,14.53
2000-12-01,4.59
2001-01-01,3.24
2001-02-01,3.29
2001-03-01,28.11
2001-04-01,74.98
2001-05-01,94.82
2001-06-01,123.94
2001-07-01,210.01
2001-08-01,211.37
2001-09-01,166.45
2001-10-01,61.73
2001-11-01,14.81
2001-12-01,5.4
2002-01-01,2.23
2002-02-01,13.2
2002-03-01,34.09
2002-04-01,61.19
2002-05-01,70.05
2002-06-01,135.06
2002-07-01,183.0
2002-08-01,214.92
2002-09-01,184.42
2002-10-01,119.96
2002-11-01,25.71
2002-12-01,7.73
2003-01-01,11.95
2003-02-01,13.25
2003-03-01,19.11
2003-04-01,63.84
2003-05-01,77.35
2003-06-01,144.85
2003-07-01,148.83
2003-08-01,213.6
2003-09-01,174.58
2003-10-01,98.55
2003-11-01,35.5
2003-12-01,6.18
2004-01-01,9.46
2004-02-01,7.39
2004-03-01,16.18
2004-04-01,59.89
2004-05-01,118.41
2004-06-01,118.85
2004-07-01,186.43
2004-08-01,223.06
2004-09-01,143.62
2004-10-01,81.01
2004-11-01,29.91
2004-12-01,5.7
2005-01-01,2.42
2005-02-01,13.38
2005-03-01,29.22
2005-04-01,53.6
2005-05-01,109.53
2005-06-01,139.55
2005-07-01,186.84
2005-08-01,189.86
2005-09-01,151.05
2005-10-01,83.21
2005-11-01,20.7
2005-12-01,9.12
2006-01-01,12.04
2006-02-01,17.42
2006-03-01,21.86
2006-04-01,41.02
2006-05-01,118.87
2006-06-01,108.65
2006-07-01,176.91
2006-08-01,224.32
2006-09-01,187.21
2006-10-01,87.23
2006-11-01,11.22
2006-12-01,1.94
2007-01-01,0.46
2007-02-01,10.38
2007-03-01,16.27
2007-04-01,54.13
2007-05-01,79.35
2007-06-01,122.81
2007-07-01,182.61
2007-08-01,268.15
2007-09-01,177.54
2007-10-01,89.83
2007-11-01,30.83
2007-12-01,7.7
2008-01-01,6.04
2008-02-01,2.04
2008-03-01,25.42
2008-04-01,60.98
2008-05-01,105.16
2008-06-01,140.09
2008-07-01,195.0
2008-08-01,266.6
2008-09-01,172.92
2008-10-01,86.11
2008-11-01,11.4
2008-12-01,15.3
2009-01-01,10.47
2009-02-01,9.67
2009-03-01,15.48
2009-04-01,61.42
2009-05-01,97.92
2009-06-01,134.71
2009-07-01,162.92
2009-08-01,235.99
